"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"105377223",-1.63481173073241,1.01062763056105,-66.4469675059459,4.92064872533956e-121,1.27346389011788e-116,250.212124141949
"83869",-2.35772371593721,1.56312161558017,-61.0211455948538,3.63500429438345e-115,4.70369555693219e-111,239.296698264927
"246126",-2.5741874675934,1.80520435463697,-59.1749970433936,4.64492951762954e-113,4.00702586387508e-109,235.295420344041
"9383",2.56220099995311,2.34189107705327,59.0367153420845,6.71681205906863e-113,4.34577740221741e-109,234.989434371693
"9087",-1.54357773871644,0.958203181071725,-58.4020677988413,3.68755299609782e-112,1.90867743078023e-108,233.573602467867
"7404",-2.50262280874855,1.71705806068663,-55.6865145450919,6.54401250111442e-109,2.79886762122661e-105,227.294996524153
"7503",2.60408116262087,2.413304642916,55.634783338876,7.57035291676441e-109,2.79886762122661e-105,227.171805645804
"6192",-2.89170386518863,2.63481816222161,-54.6969451350684,1.08502559781915e-107,3.51005780894495e-104,224.914398668495
"9086",-2.94297257931994,2.66400643320972,-53.8165363728358,1.37163552744288e-106,3.94421416113574e-103,222.752940397154
"8284",-2.767021103875,2.06978137681394,-52.3682192982612,9.66573375164112e-105,2.50149189492472e-101,219.105234409463
"64595",-1.97229191135993,1.27453845355054,-51.0941723716713,4.45403284325485e-103,1.04791245439487e-99,215.798388656279
"5616",-2.24001257364285,1.82044704875798,-49.3087262700497,1.10302249582527e-100,2.37885184932983e-97,211.002590547881
"8653",-2.69873294646844,2.17490570570453,-47.4740634202532,3.82479918548786e-98,7.61429253234046e-95,205.868042951522
"8287",-2.71622793600598,2.11583663841817,-42.2891799636889,1.76074619398853e-90,3.25486510717309e-87,190.11550659424
"7544",-2.27802248925657,1.55220665249676,-39.2279657325053,1.40329917948228e-85,2.42115885100009e-82,179.855129776737
"352887",-1.26497571533139,0.783694026658854,-38.8017193912906,7.14733421822233e-85,1.15608130979746e-81,178.364409952426
"246119",-1.34821059611097,0.848998574496187,-36.1392366293379,2.60600712921272e-80,3.96726261788384e-77,168.685471273094
"107987337",-1.35452473676542,0.839598089319611,-33.343763419722,3.12900675563289e-75,4.49881637976551e-72,157.795402518014
"107987344",-1.10849163022466,0.677256181971903,-28.2416511305442,4.26823887555713e-65,5.8137906368115e-62,135.764273622176
"22829",-1.29555748369515,1.09996724040956,-25.8085529813844,7.98236351464357e-60,1.03291783879488e-56,124.170713516153
"105377224",-1.07049215794181,0.685335077991646,-20.2320529792452,1.47885705726592e-46,1.82251526866867e-43,94.682412651153
"112268311",-0.823783728256128,0.513179111571013,-16.6109249776318,4.68866403295534e-37,5.51557387149474e-34,73.3615844565833
"401629",-0.72821991237714,0.462259157855861,-15.778774698586,8.70902774526949e-35,9.79954948032932e-32,68.2519007321398
"401630",-0.727405556808591,0.461768521271083,-15.5955828652792,2.77332840938115e-34,2.99057246811601e-31,67.1182884215298
"107987343",-0.607031674914349,0.370430751860461,-14.9086565230074,2.18440547934461e-32,2.26129655221754e-29,62.8425140683098
