"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"7404",-2.58965602912656,1.34928670665743,-82.5175258123951,5.80255524863246e-136,1.50170129834608e-131,284.287160127603,135.236380715747,25,"Male Higher","blue"
"246126",-2.70250274252789,1.43546849619935,-77.1449157890019,2.89500576285566e-131,3.74613745713522e-127,275.58093362587,130.538350567421,25,"Male Higher","blue"
"9383",2.55832108502792,2.61352697317833,72.8020026255383,3.10068768723999e-127,2.6748599115257e-123,267.937686553218,126.50854197531,25,"Female Higher","deeppink"
"7544",-2.52448107038072,1.30602867231624,-71.035619002247,1.5688632104503e-125,1.01505449716135e-121,264.659711526474,124.804414921,25,"Male Higher","blue"
"9086",-3.09537155097449,2.14119695758215,-69.160361533527,1.11882806944835e-123,5.79105408746465e-120,261.065542623974,122.951236646471,25,"Male Higher","blue"
"8284",-2.8295232104462,1.67116368236547,-68.2513011475814,9.2061958987975e-123,3.97093916434799e-119,259.279301028322,122.035919787984,25,"Male Higher","blue"
"64595",-1.96412900257533,0.932468670599477,-68.064175287584,1.4252927793286e-122,5.26951101843201e-119,258.907964447983,121.846095915034,25,"Male Higher","blue"
"8653",-2.9654037315435,1.75163144494576,-67.4714201077947,5.7336471859493e-122,1.8548348646546e-118,257.723352448456,121.241569034429,25,"Male Higher","blue"
"7503",2.64860716925635,2.71851343209933,67.3480591935086,7.67119455240142e-122,2.20589461129054e-118,257.475212486297,121.115137002789,25,"Female Higher","deeppink"
"83869",-2.44660746811754,1.21792124268583,-67.1304793459503,1.28346956421869e-121,3.32161923219796e-118,257.036193070443,120.891614425589,25,"Male Higher","blue"
"6192",-3.09136714134444,2.15124020724937,-67.056611752556,1.52905784601564e-121,3.59745609589862e-118,256.886751895841,120.815576084418,25,"Male Higher","blue"
"9087",-1.57899833175776,0.735558229079702,-64.8748569809457,2.92483180724939e-119,6.30788726430118e-116,252.380489295489,118.533899103012,25,"Male Higher","blue"
"105377223",-1.59673795307799,0.766871693331826,-63.9822797864656,2.63086253837298e-118,5.23744019177636e-115,250.484019244896,117.579901843053,25,"Male Higher","blue"
"5616",-2.2034994567539,1.50122013155541,-62.2916837222804,1.82460555271006e-116,3.3729136931526e-113,246.804225280578,115.738831007808,25,"Male Higher","blue"
"8287",-2.85615769915555,1.68132931102723,-59.8374200794476,1.04050210783974e-113,1.7952129700595e-110,241.248428561496,112.982757035662,25,"Male Higher","blue"
"107987337",-1.42207066410539,0.67295632467034,-44.3394573456,1.62300593023965e-93,2.62521209216264e-90,199.090632979105,92.7896798933188,25,"Male Higher","blue"
"246119",-1.31793850636202,0.620947206748435,-42.4867727752597,1.04969393488879e-90,1.59800464911305e-87,193.055728044796,89.9789373121353,25,"Male Higher","blue"
"352887",-1.2778227756078,0.605760103320529,-34.5298893864172,2.3241824524837e-77,3.34165788168212e-74,163.988477689178,76.6337297820491,25,"Male Higher","blue"
