"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"105377223",-1.63481173073241,1.01062763056105,-66.4469675059459,4.92064872533956e-121,1.27346389011788e-116,250.212124141949,120.30797763722,25,"Male Higher","blue"
"83869",-2.35772371593721,1.56312161558017,-61.0211455948538,3.63500429438407e-115,4.70369555693299e-111,239.296698264927,114.43949507173,25,"Male Higher","blue"
"246126",-2.5741874675934,1.80520435463697,-59.1749970433936,4.64492951762954e-113,4.00702586387509e-109,235.295420344041,112.333020871624,25,"Male Higher","blue"
"9383",2.56220099995311,2.34189107705327,59.0367153420845,6.71681205906902e-113,4.34577740221765e-109,234.989434371693,112.172836803384,25,"Female Higher","deeppink"
"9087",-1.54357773871643,0.958203181071725,-58.4020677988413,3.68755299609834e-112,1.9086774307805e-108,233.573602467867,111.433261729455,25,"Male Higher","blue"
"7404",-2.50262280874855,1.71705806068663,-55.6865145450919,6.54401250111498e-109,2.79886762122677e-105,227.294996524153,108.184155879697,25,"Male Higher","blue"
"7503",2.60408116262087,2.413304642916,55.634783338876,7.57035291676484e-109,2.79886762122677e-105,227.171805645804,108.12088387397,25,"Female Higher","deeppink"
"6192",-2.89170386518863,2.63481816222161,-54.6969451350683,1.08502559781924e-107,3.51005780894525e-104,224.914398668495,106.964560015861,25,"Male Higher","blue"
"9086",-2.94297257931994,2.66400643320972,-53.8165363728357,1.37163552744307e-106,3.9442141611363e-103,222.752940397154,105.862761274525,25,"Male Higher","blue"
"8284",-2.767021103875,2.06978137681394,-52.3682192982612,9.66573375164112e-105,2.50149189492472e-101,219.105234409463,104.014765171931,25,"Male Higher","blue"
"64595",-1.97229191135993,1.27453845355054,-51.0941723716713,4.4540328432551e-103,1.04791245439493e-99,215.798388656279,102.351246584879,25,"Male Higher","blue"
"5616",-2.24001257364285,1.82044704875797,-49.3087262700497,1.10302249582536e-100,2.37885184933003e-97,211.002590547881,99.9574156301589,25,"Male Higher","blue"
"8653",-2.69873294646844,2.17490570570453,-47.4740634202531,3.8247991854883e-98,7.61429253234132e-95,205.868042951521,97.4173913617976,25,"Male Higher","blue"
"8287",-2.71622793600598,2.11583663841816,-42.2891799636889,1.76074619398858e-90,3.25486510717318e-87,190.11550659424,89.7543032417012,25,"Male Higher","blue"
"7544",-2.27802248925657,1.55220665249676,-39.2279657325053,1.40329917948224e-85,2.42115885100002e-82,179.855129776737,84.8528497287245,25,"Male Higher","blue"
"352887",-1.26497571533139,0.783694026658853,-38.8017193912906,7.14733421822111e-85,1.15608130979726e-81,178.364409952426,84.1458559092749,25,"Male Higher","blue"
"246119",-1.34821059611097,0.848998574496187,-36.1392366293379,2.6060071292128e-80,3.96726261788395e-77,168.685471273094,79.5840244005292,25,"Male Higher","blue"
"107987337",-1.35452473676542,0.83959808931961,-33.343763419722,3.1290067556328e-75,4.49881637976538e-72,157.795402518014,74.5045934991961,25,"Male Higher","blue"
"107987344",-1.10849163022466,0.677256181971903,-28.2416511305442,4.26823887555713e-65,5.8137906368115e-62,135.764273622176,64.3697512829136,25,"Male Higher","blue"
"22829",-1.29555748369515,1.09996724040956,-25.8085529813844,7.98236351464358e-60,1.03291783879488e-56,124.170713516153,59.0978684984501,25,"Male Higher","blue"
"105377224",-1.07049215794181,0.685335077991645,-20.2320529792452,1.47885705726588e-46,1.82251526866861e-43,94.682412651153,45.8300738018251,25,"Male Higher","blue"
"112268311",-0.823783728256129,0.513179111571013,-16.6109249776318,4.68866403295521e-37,5.51557387149458e-34,73.3615844565834,36.3289508855936,25,"Male Higher","blue"
"401629",-0.72821991237714,0.462259157855861,-15.778774698586,8.70902774526999e-35,9.79954948032988e-32,68.2519007321397,34.0600303258686,25,"Male Higher","blue"
"401630",-0.727405556808592,0.461768521271082,-15.5955828652792,2.77332840938103e-34,2.99057246811588e-31,67.1182884215298,33.5569986995037,25,"Male Higher","blue"
"107987343",-0.607031674914349,0.37043075186046,-14.9086565230074,2.18440547934464e-32,2.26129655221757e-29,62.8425140683097,31.6606667427544,25,"Male Higher","blue"
"57135",-0.530642830517904,0.319704065591532,-14.510446766801,2.78676512835145e-31,2.77390313545136e-28,60.3477461093147,30.5548996325638,25,"Male Higher","blue"
"57055",-0.513371633753591,0.309298437727319,-14.452915624106,4.02901345284274e-31,3.86188400591e-28,59.9864556312759,30.3948012825035,25,"Male Higher","blue"
"1617",-0.545057575961264,0.3358437454947,-14.4183945581858,5.02693399893891e-31,4.64632328187639e-28,59.7695687407156,30.2986968167979,25,"Male Higher","blue"
"107987348",-0.848582273247157,0.535574869462528,-14.238768939807,1.59154966926667e-30,1.42032087726281e-27,58.6398917987088,29.7981798033189,25,"Male Higher","blue"
"105377243",-0.541135151035133,0.330729119461181,-14.2031329536732,2.00080226702359e-30,1.72602542235235e-27,58.415556959399,29.6987958291967,25,"Male Higher","blue"
"107987350",-0.843089956643963,0.532265833993523,-14.1893779057388,2.18560908687642e-30,1.82463106994716e-27,58.3289479195081,29.6604275123744,25,"Male Higher","blue"
"57054",-0.506541440036748,0.305183352071829,-14.170941179541,2.46040275300043e-30,1.9898507264891e-27,58.2128445202039,29.6089937957061,25,"Male Higher","blue"
"86614",-0.406518033066631,0.249624396213077,-13.8397436487964,2.07067832558951e-29,1.62391378988656e-26,56.1242335691193,28.6838873623678,25,"Male Higher","blue"
"100873962",-0.561048187161144,0.342726414518468,-13.7365220945343,4.02565250625418e-29,3.06423196652524e-26,55.4722600520255,28.3951637160667,25,"Male Higher","blue"
"159119",-0.414023632403708,0.254146403267092,-13.5503743667403,1.33637207682947e-28,9.8815169566705e-26,54.2954340183782,27.874072607417,25,"Male Higher","blue"
"105377240",-0.509931511810139,0.316633005038932,-13.4022433404903,3.47477703747144e-28,2.49797860360447e-25,53.3580830746008,27.4590730571177,25,"Male Higher","blue"
